province,year,datasets_total,updated_12m_ratio,open_format_ratio,has_api_ratio,egov_datasets_share,econ_datasets_share,social_datasets_share,online_public_services_ratio,online_applications_ratio,CQS,KTS,XHS,DTI_total
DaNang,2022,0.8152,0.7877,0.7412,0.6979,0.3838,0.2731,0.2666,0.8012,0.7752,0.8278,0.7884,0.7726,0.8002
DongThap,2022,0.5684,0.5702,0.5366,0.5056,0.2692,0.1955,0.1948,0.5730,0.5517,0.5383,0.5503,0.6279,0.5649
HoChiMinh,2022,0.7447,0.7189,0.6740,0.6337,0.3473,0.2489,0.2439,0.7257,0.7013,0.7262,0.7334,0.6765,0.7163
ThanhHoa,2022,0.6415,0.6347,0.5974,0.5628,0.3033,0.2185,0.2161,0.6409,0.6182,0.6219,0.5892,0.7201,0.6350
DaNang,2023,0.8456,0.8364,0.7789,0.7443,0.3990,0.2832,0.2760,0.8523,0.8256,0.8628,0.8217,0.8051,0.8340
DongThap,2023,0.6691,0.6853,0.6383,0.6129,0.3196,0.2290,0.2262,0.6960,0.6725,0.6449,0.6593,0.7523,0.6768
HoChiMinh,2023,0.8218,0.8117,0.7543,0.7206,0.3859,0.2746,0.2679,0.8245,0.7985,0.8131,0.8212,0.7574,0.8020
ThanhHoa,2023,0.7283,0.7367,0.6864,0.6580,0.3466,0.2474,0.2431,0.7496,0.7249,0.7163,0.6787,0.8293,0.7314
DaNang,2024,0.8451,0.8560,0.7885,0.7639,0.3988,0.2831,0.2759,0.8718,0.8452,0.8623,0.8212,0.8046,0.8335
DongThap,2024,0.6582,0.6950,0.6384,0.6235,0.3141,0.2254,0.2228,0.7049,0.6816,0.6334,0.6475,0.7389,0.6647
HoChiMinh,2024,0.8536,0.8617,0.7933,0.7681,0.4018,0.2852,0.2778,0.8770,0.8502,0.8489,0.8573,0.7907,0.8373
ThanhHoa,2024,0.7668,0.7931,0.7315,0.7114,0.3659,0.2603,0.2551,0.8089,0.7834,0.7582,0.7183,0.8781,0.7742
